Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County Name,Population
2004,0,Total,1,Male,5,Hispanic,4,Kings,240302
2004,0,Total,2,Female,0,Total,4,Kings,1310347
2004,0,Total,2,Female,1,White Non Hispanic,4,Kings,458814
2004,0,Total,2,Female,2,Black Non Hispanic,4,Kings,486201
2004,0,Total,2,Female,3,Other Non Hispanic,4,Kings,112026
2004,0,Total,2,Female,5,Hispanic,4,Kings,253306
2004,1,<1,0,Total,0,Total,4,Kings,40371
2004,1,<1,0,Total,1,White Non Hispanic,4,Kings,13154
2004,1,<1,0,Total,2,Black Non Hispanic,4,Kings,14190
2004,1,<1,0,Total,3,Other Non Hispanic,4,Kings,3614
2004,1,<1,0,Total,5,Hispanic,4,Kings,9413
2004,1,<1,1,Male,0,Total,4,Kings,20575
2004,1,<1,1,Male,1,White Non Hispanic,4,Kings,6664
2004,1,<1,1,Male,2,Black Non Hispanic,4,Kings,7246
2004,1,<1,1,Male,3,Other Non Hispanic,4,Kings,1895
2004,1,<1,1,Male,5,Hispanic,4,Kings,4770
2004,1,<1,2,Female,0,Total,4,Kings,19796
2004,1,<1,2,Female,1,White Non Hispanic,4,Kings,6490
2004,1,<1,2,Female,2,Black Non Hispanic,4,Kings,6944
2004,1,<1,2,Female,3,Other Non Hispanic,4,Kings,1719
2004,1,<1,2,Female,5,Hispanic,4,Kings,4643
2004,2,01-09,0,Total,0,Total,4,Kings,324186
2004,2,01-09,0,Total,1,White Non Hispanic,4,Kings,101132
2004,2,01-09,0,Total,2,Black Non Hispanic,4,Kings,117940
2004,2,01-09,0,Total,3,Other Non Hispanic,4,Kings,28117
2004,2,01-09,0,Total,5,Hispanic,4,Kings,76997
2004,2,01-09,1,Male,0,Total,4,Kings,165704
2004,2,01-09,1,Male,1,White Non Hispanic,4,Kings,52198
2004,2,01-09,1,Male,2,Black Non Hispanic,4,Kings,59649
2004,2,01-09,1,Male,3,Other Non Hispanic,4,Kings,14559
2004,2,01-09,1,Male,5,Hispanic,4,Kings,39298
2004,2,01-09,2,Female,0,Total,4,Kings,158482
2004,2,01-09,2,Female,1,White Non Hispanic,4,Kings,48934
2004,2,01-09,2,Female,2,Black Non Hispanic,4,Kings,58291
2004,2,01-09,2,Female,3,Other Non Hispanic,4,Kings,13558
2004,2,01-09,2,Female,5,Hispanic,4,Kings,37699
2004,3,10-19,0,Total,0,Total,4,Kings,344357
2004,3,10-19,0,Total,1,White Non Hispanic,4,Kings,99548
2004,3,10-19,0,Total,2,Black Non Hispanic,4,Kings,137963
2004,3,10-19,0,Total,3,Other Non Hispanic,4,Kings,28620
2004,3,10-19,0,Total,5,Hispanic,4,Kings,78226
2004,3,10-19,1,Male,0,Total,4,Kings,175263
2004,3,10-19,1,Male,1,White Non Hispanic,4,Kings,51688
2004,3,10-19,1,Male,2,Black Non Hispanic,4,Kings,68694
2004,3,10-19,1,Male,3,Other Non Hispanic,4,Kings,14975
2004,3,10-19,1,Male,5,Hispanic,4,Kings,39906
2004,3,10-19,2,Female,0,Total,4,Kings,169094
2004,3,10-19,2,Female,1,White Non Hispanic,4,Kings,47860
2004,3,10-19,2,Female,2,Black Non Hispanic,4,Kings,69269
2004,3,10-19,2,Female,3,Other Non Hispanic,4,Kings,13645
2004,3,10-19,2,Female,5,Hispanic,4,Kings,38320
2004,4,20-24,0,Total,0,Total,4,Kings,177067
2004,4,20-24,0,Total,1,White Non Hispanic,4,Kings,51563
2004,4,20-24,0,Total,2,Black Non Hispanic,4,Kings,66115
2004,4,20-24,0,Total,3,Other Non Hispanic,4,Kings,16268
2004,4,20-24,0,Total,5,Hispanic,4,Kings,43121
2004,4,20-24,1,Male,0,Total,4,Kings,89261
2004,4,20-24,1,Male,1,White Non Hispanic,4,Kings,26573
2004,4,20-24,1,Male,2,Black Non Hispanic,4,Kings,31167
2004,4,20-24,1,Male,3,Other Non Hispanic,4,Kings,8577
2004,4,20-24,1,Male,5,Hispanic,4,Kings,22944
2004,4,20-24,2,Female,0,Total,4,Kings,87806
2004,4,20-24,2,Female,1,White Non Hispanic,4,Kings,24990
2004,4,20-24,2,Female,2,Black Non Hispanic,4,Kings,34948
2004,4,20-24,2,Female,3,Other Non Hispanic,4,Kings,7691
2004,4,20-24,2,Female,5,Hispanic,4,Kings,20177
2004,5,25-34,0,Total,0,Total,4,Kings,374208
2004,5,25-34,0,Total,1,White Non Hispanic,4,Kings,128476
2004,5,25-34,0,Total,2,Black Non Hispanic,4,Kings,121941
2004,5,25-34,0,Total,3,Other Non Hispanic,4,Kings,39101
2004,5,25-34,0,Total,5,Hispanic,4,Kings,84690
2004,5,25-34,1,Male,0,Total,4,Kings,179149
2004,5,25-34,1,Male,1,White Non Hispanic,4,Kings,64420
2004,5,25-34,1,Male,2,Black Non Hispanic,4,Kings,52484
2004,5,25-34,1,Male,3,Other Non Hispanic,4,Kings,19211
2004,5,25-34,1,Male,5,Hispanic,4,Kings,43034
2004,5,25-34,2,Female,0,Total,4,Kings,195059
2004,5,25-34,2,Female,1,White Non Hispanic,4,Kings,64056
2004,5,25-34,2,Female,2,Black Non Hispanic,4,Kings,69457
2004,5,25-34,2,Female,3,Other Non Hispanic,4,Kings,19890
2004,5,25-34,2,Female,5,Hispanic,4,Kings,41656
2004,6,35-44,0,Total,0,Total,4,Kings,362833
2004,6,35-44,0,Total,1,White Non Hispanic,4,Kings,119132
2004,6,35-44,0,Total,2,Black Non Hispanic,4,Kings,130476
2004,6,35-44,0,Total,3,Other Non Hispanic,4,Kings,39915
2004,6,35-44,0,Total,5,Hispanic,4,Kings,73310
2004,6,35-44,1,Male,0,Total,4,Kings,170693
2004,6,35-44,1,Male,1,White Non Hispanic,4,Kings,61164
2004,6,35-44,1,Male,2,Black Non Hispanic,4,Kings,54079
2004,6,35-44,1,Male,3,Other Non Hispanic,4,Kings,20155
2004,6,35-44,1,Male,5,Hispanic,4,Kings,35295
2004,6,35-44,2,Female,0,Total,4,Kings,192140
2004,6,35-44,2,Female,1,White Non Hispanic,4,Kings,57968
2004,6,35-44,2,Female,2,Black Non Hispanic,4,Kings,76397
2004,6,35-44,2,Female,3,Other Non Hispanic,4,Kings,19760
2004,6,35-44,2,Female,5,Hispanic,4,Kings,38015
2004,7,45-54,0,Total,0,Total,4,Kings,326334
