Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County Name,Population
2004,11,85+,2,Female,0,Total,6,Queens,29690
2004,11,85+,2,Female,1,White Non Hispanic,6,Queens,21353
2004,11,85+,2,Female,2,Black Non Hispanic,6,Queens,3904
2004,11,85+,2,Female,3,Other Non Hispanic,6,Queens,1852
2004,11,85+,2,Female,5,Hispanic,6,Queens,2581
2005,0,Total,0,Total,0,Total,6,Queens,2241600
2005,0,Total,0,Total,1,White Non Hispanic,6,Queens,720327
2005,0,Total,0,Total,2,Black Non Hispanic,6,Queens,442011
2005,0,Total,0,Total,3,Other Non Hispanic,6,Queens,493454
2005,0,Total,0,Total,5,Hispanic,6,Queens,585808
2005,0,Total,1,Male,0,Total,6,Queens,1086840
2005,0,Total,1,Male,1,White Non Hispanic,6,Queens,345672
2005,0,Total,1,Male,2,Black Non Hispanic,6,Queens,199413
2005,0,Total,1,Male,3,Other Non Hispanic,6,Queens,247221
2005,0,Total,1,Male,5,Hispanic,6,Queens,294534
2005,0,Total,2,Female,0,Total,6,Queens,1154760
2005,0,Total,2,Female,1,White Non Hispanic,6,Queens,374655
2005,0,Total,2,Female,2,Black Non Hispanic,6,Queens,242598
2005,0,Total,2,Female,3,Other Non Hispanic,6,Queens,246233
2005,0,Total,2,Female,5,Hispanic,6,Queens,291274
2005,1,<1,0,Total,0,Total,6,Queens,30685
2005,1,<1,0,Total,1,White Non Hispanic,6,Queens,7242
2005,1,<1,0,Total,2,Black Non Hispanic,6,Queens,5999
2005,1,<1,0,Total,3,Other Non Hispanic,6,Queens,7250
2005,1,<1,0,Total,5,Hispanic,6,Queens,10194
2005,1,<1,1,Male,0,Total,6,Queens,15798
2005,1,<1,1,Male,1,White Non Hispanic,6,Queens,3714
2005,1,<1,1,Male,2,Black Non Hispanic,6,Queens,3062
2005,1,<1,1,Male,3,Other Non Hispanic,6,Queens,3745
2005,1,<1,1,Male,5,Hispanic,6,Queens,5277
2005,1,<1,2,Female,0,Total,6,Queens,14887
2005,1,<1,2,Female,1,White Non Hispanic,6,Queens,3528
2005,1,<1,2,Female,2,Black Non Hispanic,6,Queens,2937
2005,1,<1,2,Female,3,Other Non Hispanic,6,Queens,3505
2005,1,<1,2,Female,5,Hispanic,6,Queens,4917
2005,2,01-09,0,Total,0,Total,6,Queens,251121
2005,2,01-09,0,Total,1,White Non Hispanic,6,Queens,61448
2005,2,01-09,0,Total,2,Black Non Hispanic,6,Queens,53555
2005,2,01-09,0,Total,3,Other Non Hispanic,6,Queens,56781
2005,2,01-09,0,Total,5,Hispanic,6,Queens,79337
2005,2,01-09,1,Male,0,Total,6,Queens,128922
2005,2,01-09,1,Male,1,White Non Hispanic,6,Queens,31615
2005,2,01-09,1,Male,2,Black Non Hispanic,6,Queens,27217
2005,2,01-09,1,Male,3,Other Non Hispanic,6,Queens,29286
2005,2,01-09,1,Male,5,Hispanic,6,Queens,40804
2005,2,01-09,2,Female,0,Total,6,Queens,122199
2005,2,01-09,2,Female,1,White Non Hispanic,6,Queens,29833
2005,2,01-09,2,Female,2,Black Non Hispanic,6,Queens,26338
2005,2,01-09,2,Female,3,Other Non Hispanic,6,Queens,27495
2005,2,01-09,2,Female,5,Hispanic,6,Queens,38533
2005,3,10-19,0,Total,0,Total,6,Queens,266444
2005,3,10-19,0,Total,1,White Non Hispanic,6,Queens,65287
2005,3,10-19,0,Total,2,Black Non Hispanic,6,Queens,65513
2005,3,10-19,0,Total,3,Other Non Hispanic,6,Queens,57839
2005,3,10-19,0,Total,5,Hispanic,6,Queens,77805
2005,3,10-19,1,Male,0,Total,6,Queens,136088
2005,3,10-19,1,Male,1,White Non Hispanic,6,Queens,33832
2005,3,10-19,1,Male,2,Black Non Hispanic,6,Queens,32568
2005,3,10-19,1,Male,3,Other Non Hispanic,6,Queens,30246
2005,3,10-19,1,Male,5,Hispanic,6,Queens,39442
2005,3,10-19,2,Female,0,Total,6,Queens,130356
2005,3,10-19,2,Female,1,White Non Hispanic,6,Queens,31455
2005,3,10-19,2,Female,2,Black Non Hispanic,6,Queens,32945
2005,3,10-19,2,Female,3,Other Non Hispanic,6,Queens,27593
2005,3,10-19,2,Female,5,Hispanic,6,Queens,38363
2005,4,20-24,0,Total,0,Total,6,Queens,139738
2005,4,20-24,0,Total,1,White Non Hispanic,6,Queens,31904
2005,4,20-24,0,Total,2,Black Non Hispanic,6,Queens,31695
