year,pct,arstmade,frisked,searched,sex,race,age,build,city,crimsusp,arstoffn
2015,112,N,Y,N,M,B,36,M,QUEENS,FEL/GLA, 
2015,121,N,Y,N,M,B,22,H,STATEN IS,FELONY, 
2015,122,N,N,N,M,W,22,T,STATEN IS,BURG, 
2015,122,N,N,N,M,W,23,T,STATEN IS,BURG, 
2015,107,N,N,N,M,B,25,T,QUEENS,HOMICIDE, 
2015,83,N,N,N,M,Q,24,M,BROOKLYN,MISD, 
2015,66,N,Y,Y,M,B,23,T,BROOKLYN,CPW, 
2015,66,N,Y,Y,M,B,20,T,BROOKLYN,CPW, 
2015,66,N,Y,Y,M,B,19,T,BROOKLYN,CPW, 
2015,66,N,Y,Y,M,B,23,M,BROOKLYN,CPW, 
2015,62,N,Y,N,M,W,31,T,BROOKLYN,MISD, 
2015,83,N,N,N,M,Q,47,T,BROOKLYN,MISD, 
2015,121,N,Y,N,M,B,44,M,STATEN IS,MISDEMEANOR, 
2015,121,N,N,N,M,W,17,M,STATEN IS,MISDEMEANOR, 
2015,40,Y,N,N,M,B,30,T,BRONX,CRIMINAL TRESPASS,CRIMINAL TRESPASS
2015,40,Y,N,N,M,B,22,T,BRONX,CRIMINAL TRESPASS,CRIMINAL TRESPASS
2015,114,N,N,N,F,Q,36,T,QUEENS,FEL, 
2015,84,N,Y,N,M,B,49,M,BROOKLYN,GLA (FEL), 
2015,14,N,Y,Y,M,B,23,H,MANHATTAN,MISD, 
2015,14,N,Y,N,M,B,32,M,MANHATTAN,FEL, 
2015,44,Y,Y,Y,M,P,51,H,BRONX,CPW,VTL 1212
2015,43,Y,N,N,M,B,29,H,BRONX,CRIMINAL TRESPASS,CRIMINAL TRESPASS
2015,44,N,Y,N,M,B,17,T,BRONX,CPW, 
2015,61,N,Y,N,M,W,18,T,BROOKLYN,MIS, 
2015,61,N,Y,N,M,W,18,M,BROOKLYN,M, 
2015,61,N,Y,N,M,W,16,T,BROOKLYN,M, 
2015,102,N,N,N,F,I,27,M,QUEENS,BURGLARY, 
2015,121,N,Y,N,M,B,18,T,STATEN IS,MISDEMEANOR, 
2015,102,N,N,N,F,A,28,M,QUEENS,BURGLARY, 
2015,70,N,Y,N,M,P,28,M,BROOKLYN,FELONY/GLA, 
2015,70,N,Y,N,M,P,27,M,BROOKLYN,FELONY/GLA, 
2015,70,N,Y,N,M,Q,23,M,BROOKLYN,FELONY/GLA, 
2015,70,N,Y,N,M,W,18,M,BROOKLYN,FELONY/GLA, 
2015,121,N,N,N,M,B,24,M,STATEN IS,MISDEMEANOR, 
2015,121,N,N,N,M,B,30,U,STATEN IS,MISDEMEANOR, 
2015,44,N,Y,N,M,B,21,T,BRONX,CPW, 
2015,67,N,Y,N,M,B,22,T,BROOKLYN,FEL, 
2015,109,N,Y,N,M,Q,37,T,QUEENS,BURGLARY, 
2015,106,N,Y,N,M,B,35,M,QUEENS,FELONY, 
2015,49,Y,Y,Y,M,Q,22,T,BRONX,CPW,265.03
2015,23,N,Y,N,M,B,22,T,MANHATTAN,F, 
2015,24,N,Y,N,M,B,56,M,MANHATTAN,GRAND LARCENY, 
2015,50,N,N,N,M,W,42,M,BRONX,MISD, 
2015,113,N,Y,N,M,B,51,M,QUEENS,FELONY, 
2015,84,N,Y,Y,M,A,46,T,BROOKLYN,CRIMINAL MISCHIEF, 
2015,40,Y,Y,Y,M,B,23,Z,BRONX,MISD,CRIMINAL TRESPASS
2015,115,N,Y,N,M,P,25,H,QUEENS,GRAND LARCENY AUTO, 
2015,114,Y,Y,Y,M,B,28,H,QUEENS,FEL,CPW
2015,114,N,Y,N,M,B,30,M,QUEENS,FEL, 
2015,83,Y,Y,N,F,P,23,H,BROOKLYN,FEL,ROBBERY
2015,83,Y,Y,N,M,B,19,T,BROOKLYN,FEL,ROBBERY
2015,83,Y,Y,N,M,Q,20,T,BROOKLYN,FEL,ROBBERY
2015,110,N,N,N,M,Q,21,Z,QUEENS,ROBBERY, 
2015,114,N,Y,N,M,B,22,T,QUEENS,FEL, 
2015,114,N,Y,N,M,Q,24,T,QUEENS,FEL, 
2015,25,N,Y,N,M,W,32,M,MANHATTAN,F, 
2015,67,N,Y,N,F,B,25,T,BROOKLYN,FEL, 
2015,67,Y,Y,Y,M,B,29,T,BROOKLYN,FEL,CPM
2015,7,N,N,N,M,B,44,H,MANHATTAN,FEL, 
2015,105,N,Y,N,M,B,24,M,QUEENS,FEL, 
2015,9,N,N,N,M,B,27,M,MANHATTAN,MISD, 
2015,90,N,Y,N,M,B,23,M,BROOKLYN,FEL, 
2015,19,N,Y,Y,M,Q,54,M,MANHATTAN,MISD, 
2015,101,N,Y,N,F,B,27,M,QUEENS,MISD, 
2015,14,N,N,N,M,B,23,M,MANHATTAN,MISD, 
2015,110,N,Y,N,M,B,27,T,QUEENS,MISD, 
2015,66,N,Y,Y,Z,Z,45,M,BROOKLYN,GRAND LARCENY, 
2015,121,N,Y,N,F,B,28,T,STATEN IS,MISDEMEANOR, 
2015,121,N,Y,N,F,B,18,M,STATEN IS,MISDEMEANOR, 
2015,121,N,Y,N,M,B,17,M,STATEN IS,MISDEMEANOR, 
