year,pct,sex,race,age,build,city,crimsusp
2014,101,M,B,42,M,QUEENS,FELONY
2014,70,M,B,1,U,BROOKLYN,FELONY
2014,60,M,A,24,M,BROOKLYN,MISD
2014,60,M,W,21,M,BROOKLYN,MISD
2014,101,M,B,23,M,QUEENS,CPW
2014,120,F,B,18,T,STATEN ISLAND,ROBBERY
2014,120,M,B,19,M,STATEN ISLAND,ROBBERY
2014,105,M,B,20,M,QUEENS,FELONY
2014,103,F,B,35,T,QUEENS,CPW
2014,28,M,B,45,M,MANHATTAN,FELONY
2014,114,M,B,26,M,QUEENS,FEL
2014,110,F,Q,32,T,QUEENS,CPW
2014,23,M,B,34,T,MANHATTAN,MISD
2014,23,M,P,30,T,MANHATTAN,MISD
2014,114,M,Q,36,M,QUEENS,FEL
2014,101,M,B,20,M,QUEENS,FELONY
2014,109,M,B,25,T,QUEENS,ROBBERY
2014,109,M,B,25,T,QUEENS,ROBBERY
2014,109,M,B,19,T,QUEENS,ROBBERY
2014,109,M,B,19,T,QUEENS,ROBEBRY
2014,109,M,B,18,T,QUEENS,ROBBERY
2014,9,F,B,17,H,MANHATTAN,ASSAULT
2014,62,M,Q,23,H,BROOKLYN,MISD
2014,115,M,Q,33,M,QUEENS,MAKING GRAFFITI
2014,110,M,B,27,M,QUEENS,CRIMINAL TRESPASS
2014,88,F,P,19,T,BROOKLYN,GRAND LARCENY
2014,88,M,B,22,T,BROOKLYN,GRAND LARCENY
2014,88,M,B,23,T,BROOKLYN,GRAND LARCENY
2014,40,M,B,21,M,BRONX,CT
2014,52,M,Q,29,M,BRONX,FELONY
2014,40,M,B,46,T,BRONX,MISD
2014,24,M,Q,53,M,MANHATTAN,CRIMINAL TRESPASS
2014,44,M,B,17,T,BRONX,CPW
2014,44,M,Q,17,M,BRONX,CPW / CRIM TRES
2014,44,M,Q,16,M,BRONX,CPW / CRIM TRES
2014,40,M,P,27,M,BRONX,CPM
2014,23,M,Q,24,T,MANHATTAN,MISD
2014,121,M,Q,23,M,STATEN ISLAND,GRAND LARCENY
2014,122,F,W,17,M,STATEN ISLAND,ROBB
2014,122,M,B,16,T,STATEN ISLAND,ROBBERY
2014,9,M,Q,48,M,MANHATTAN,MISD
2014,67,M,B,33,M,BROOKLYN,FEL
2014,90,M,Q,48,M,BROOKLYN,FEL
2014,101,M,U,51,M,QUEENS,FEL
2014,62,M,A,25,M,BROOKLYN,ROBBERY
2014,62,M,A,22,M,BROOKLYN,ROBBERY
2014,84,M,B,17,T,BROOKLYN,GRAND LARCENY (FEL)
2014,84,M,B,19,T,BROOKLYN,GRAND LARCENY (FEL)
2014,76,M,B,32,M,BROOKLYN,FEL
2014,84,M,P,17,M,BROOKLYN,GRAND LARCENY (FEL)
2014,62,M,W,27,M,BROOKLYN,ROBBERY
2014,105,M,A,44,T,QUEENS,FELONY
2014,105,M,B,23,M,QUEENS,MISD
2014,40,M,P,23,T,BRONX,MISD
2014,112,M,Q,33,T,QUEENS,FEL GLFA
